date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:34:45	24716/24716	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2011:34:42%20GMT	http://www.decor-art.com.pl/uslugi-glazurnicze	./www.decor-art.com.pl/uslugi-glazurnicze/index.html	(from http://www.decor-art.com.pl/)
13:34:47	22246/22246	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2011:34:44%20GMT	http://www.decor-art.com.pl/uslugi-murarsko-tynkarskie	./www.decor-art.com.pl/uslugi-murarsko-tynkarskie/index.html	(from http://www.decor-art.com.pl/)
13:34:49	21481/21481	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2011:34:46%20GMT	http://www.decor-art.com.pl/uslugi-elektryczne	./www.decor-art.com.pl/uslugi-elektryczne/index.html	(from http://www.decor-art.com.pl/)
13:34:51	22578/22578	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2011:34:48%20GMT	http://www.decor-art.com.pl/uslugi-hydrauliczne	./www.decor-art.com.pl/uslugi-hydrauliczne/index.html	(from http://www.decor-art.com.pl/)
13:34:53	22323/22323	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2011:34:51%20GMT	http://www.decor-art.com.pl/uslugi-parkieciarsko-posadzkarskie	./www.decor-art.com.pl/uslugi-parkieciarsko-posadzkarskie/index.html	(from http://www.decor-art.com.pl/)
13:34:55	178591/178591	---M--	200	added ('OK')	application/x-shockwave-flash	etag:%222b99f-49634ed724f40%22	http://www.decor-art.com.pl/sites/default/files/logo.swf	./www.decor-art.com.pl/sites/default/files/logo/index.swf	(from http://www.decor-art.com.pl/)
13:34:55	25090/25090	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2011:34:53%20GMT	http://www.decor-art.com.pl/realizacje	./www.decor-art.com.pl/realizacje/index.html	(from http://www.decor-art.com.pl/)
13:34:55	19570/19570	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2011:34:54%20GMT	http://www.decor-art.com.pl/prasa-o-nas	./www.decor-art.com.pl/prasa-o-nas/index.html	(from http://www.decor-art.com.pl/)
13:34:56	20745/20745	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2011:34:55%20GMT	http://www.decor-art.com.pl/kontakt	./www.decor-art.com.pl/kontakt/index.html	(from http://www.decor-art.com.pl/)
13:35:01	17502/17502	---MCZ	404	error ('Not%20Found')	text/html	etag:%22889c4ac1b3e4ce5b8870ef6e6026f8b3%22	http://www.decor-art.com.pl/%22/content/slideshow%22	./www.decor-art.com.pl/_/content/slideshow_/index.html	(from http://www.decor-art.com.pl/)
13:35:05	9122/9122	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	http://www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_355x242/slideshowphotos/2010-11-18/xdsc_0231a.jpg.pagespeed.ic.NADPzONIbV.jpg	./www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_355x242/slideshowphotos/2010-11-18/xdsc_0231a.jpg.pagespeed.ic.NADPzONIbV/index.jpg	(from http://www.decor-art.com.pl/)
13:35:12	16592/16592	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	http://www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_355x242/slideshowphotos/2010-11-18/xdsc_0276.jpg.pagespeed.ic.V4Xl1mODlA.jpg	./www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_355x242/slideshowphotos/2010-11-18/xdsc_0276.jpg.pagespeed.ic.V4Xl1mODlA/index.jpg	(from http://www.decor-art.com.pl/)
13:35:16	13113/13113	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	http://www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_355x242/slideshowphotos/2010-11-18/xdsc_0274.jpg.pagespeed.ic.SI_b3AJ4tO.jpg	./www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_355x242/slideshowphotos/2010-11-18/xdsc_0274.jpg.pagespeed.ic.SI_b3AJ4tO/index.jpg	(from http://www.decor-art.com.pl/)
13:35:26	225055/225055	---M--	200	added ('OK')	image/jpeg	etag:%2236f1f-4ef92ffdadcd8%22	http://www.decor-art.com.pl/sites/default/files/slideshowphotos/2010-11-18/dsc_0231a.jpg	./www.decor-art.com.pl/sites/default/files/slideshowphotos/2010-11-18/dsc_0231a/index.jpg	(from http://www.decor-art.com.pl/)
13:35:30	14552/14552	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	http://www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_355x242/slideshowphotos/2010-11-18/xdsc_0216.jpg.pagespeed.ic.7jrs2_5LFQ.jpg	./www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_355x242/slideshowphotos/2010-11-18/xdsc_0216.jpg.pagespeed.ic.7jrs2_5LFQ/index.jpg	(from http://www.decor-art.com.pl/)
13:35:33	464/464	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.decor-art.com.pl/sites/all/themes/decorart/images/xdecor-art-small-logo.gif.pagespeed.ic.gdvagr_YSZ.png	./www.decor-art.com.pl/sites/all/themes/decorart/images/xdecor-art-small-logo.gif.pagespeed.ic.gdvagr_YSZ/index.png	(from http://www.decor-art.com.pl/)
13:35:34	24512/24512	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2011:35:33%20GMT	http://www.decor-art.com.pl/realizacja/sopot-adaptacja-strychu	./www.decor-art.com.pl/realizacja/sopot-adaptacja-strychu/index.html	(from http://www.decor-art.com.pl/)
13:35:36	1413/1413	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	http://www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_96x60/realizacje/2014/02/27/xczy-so2_salon_2.jpg.pagespeed.ic.MYjD0fk041.jpg	./www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_96x60/realizacje/2014/02/27/xczy-so2_salon_2.jpg.pagespeed.ic.MYjD0fk041/index.jpg	(from http://www.decor-art.com.pl/)
13:35:37	38994/38994	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2011:35:36%20GMT	http://www.decor-art.com.pl/realizacja/sopot-apartament-140-m2	./www.decor-art.com.pl/realizacja/sopot-apartament-140-m2/index.html	(from http://www.decor-art.com.pl/)
13:35:40	2071/2071	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	http://www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_96x60/realizacje/2014/02/27/ximgp2963.jpg.pagespeed.ic.g1Y5DE-eza.jpg	./www.decor-art.com.pl/sites/default/files/imagecache/img_scale_crop_96x60/realizacje/2014/02/27/ximgp2963.jpg.pagespeed.ic.g1Y5DE-eza/index.jpg	(from http://www.decor-art.com.pl/)
13:35:41	33819/33819	---M-Z	200	added ('OK')	text/html	date:Thu,%2006%20Oct%202022%2011:35:40%20GMT	http://www.decor-art.com.pl/realizacja/sopot-apartament-197-m2	./www.decor-art.com.pl/realizacja/sopot-apartament-197-m2/index.html	(from http://www.decor-art.com.pl/)
